Accession,Species,Total read count,16S read count,16S on target %,ITS read count,ITS on target %,Symbiosis read count,Symbiosis on target %,Batch
SRER-11-1-No,Lotus strigosus,5941504,1002758,16.88%,477852,8.04%,4060188,68.34%,May-25
SRER-11-1-Rh,Lotus strigosus,28134,14026,49.85%,5698,20.25%,6734,23.94%,May-25
SRER-11-1-Ro,Lotus strigosus,5239622,748094,14.28%,1913420,36.52%,7946,0.15%,May-25
SRER-1-1-No,Lotus strigosus,14828134,243016,1.64%,1279528,8.63%,7615948,51.36%,May-25
SRER-1-1-Rh,Lotus strigosus,7788824,1388662,17.83%,2068126,26.55%,129680,1.66%,May-25
SRER-1-1-Ro,Lotus strigosus,10174822,1474624,14.49%,3151016,30.97%,42690,0.42%,May-25
SRER-12-1-No,Lotus humistratus,11969438,2576228,21.52%,424142,3.54%,8040826,67.18%,May-25
SRER-12-1-Rh,Lotus humistratus,9649862,4026728,41.73%,5634692,58.39%,108488,1.12%,May-25
SRER-12-1-Ro,Lotus humistratus,13932372,4068820,29.20%,2839878,20.38%,1902090,13.65%,May-25
SRER-13-1-No,Lotus strigosus,12085248,4618492,38.22%,2641590,21.86%,3904564,32.31%,May-25
SRER-13-1-Rh,Lotus strigosus,4441594,1708810,38.47%,707464,15.93%,510252,11.49%,May-25
SRER-13-1-Ro,Lotus strigosus,19056510,2382644,12.50%,3077878,16.15%,495100,2.60%,May-25
SRER-14-1-No,Lotus humistratus,23384980,1176362,5.03%,1781922,7.62%,19315458,82.60%,May-25
SRER-14-1-Rh,Lotus humistratus,2470164,1625566,65.81%,528758,21.41%,155808,6.31%,May-25
SRER-14-1-Ro,Lotus humistratus,7625708,5582650,73.21%,2011472,26.38%,15818,0.21%,May-25
SRER-15-1-No,Astragalus nuttallianus,17391490,510558,2.94%,789254,4.54%,13373084,76.89%,May-25
SRER-15-1-Rh,Astragalus nuttallianus,7181748,2667108,37.14%,1200136,16.71%,745402,10.38%,May-25
SRER-15-1-Ro,Astragalus nuttallianus,3124876,353698,11.32%,1189832,38.08%,118276,3.78%,May-25
SRER-16-1-No,Astragalus nuttallianus,10953508,398002,3.63%,591548,5.40%,8370722,76.42%,May-25
SRER-16-1-Rh,Astragalus nuttallianus,5861636,1176174,20.07%,935438,15.96%,1311458,22.37%,May-25
SRER-16-1-Ro,Astragalus nuttallianus,4977798,532868,10.70%,1480522,29.74%,16916,0.34%,May-25
SRER-17-1-No,Lotus strigosus,7830590,189554,2.42%,147318,1.88%,5339728,68.19%,May-25
SRER-17-1-Rh,Lotus strigosus,2371576,1462412,61.66%,156496,6.60%,174404,7.35%,May-25
SRER-17-1-Ro,Lotus strigosus,7452632,3296032,44.23%,1944046,26.09%,14902,0.20%,May-25
SRER-18-1-No,Lupinus concinnus,78632,33406,42.48%,16448,20.92%,18846,23.97%,May-25
SRER-18-1-Rh,Lupinus concinnus,6771920,3168624,46.79%,617510,9.12%,2433164,35.93%,May-25
SRER-18-1-Ro,Lupinus concinnus,5943228,4084588,68.73%,1863346,31.35%,710948,11.96%,May-25
SRER-2-1-No,Lotus humistratus,19033340,3437910,18.06%,959278,5.04%,13969074,73.39%,May-25
SRER-2-1-Rh,Lotus humistratus,4366750,2014602,46.14%,845166,19.35%,165602,3.79%,May-25
SRER-2-1-Ro,Lotus humistratus,6271862,818256,13.05%,1981748,31.60%,14512,0.23%,May-25
SRER-3-1-No,Lupinus concinnus,7575538,1355338,17.89%,585592,7.73%,5614364,74.11%,May-25
SRER-3-1-Rh,Lupinus concinnus,3267024,2133494,65.30%,512358,15.68%,308834,9.45%,May-25
SRER-3-1-Ro,Lupinus concinnus,5303606,4323504,81.52%,3362726,63.40%,41836,0.79%,May-25
SRER-4-1-No,Astragalus nuttallianus,8109456,3429218,42.29%,2667672,32.90%,2444324,30.14%,May-25
SRER-4-1-Rh,Astragalus nuttallianus,6470228,3067416,47.41%,1450402,22.42%,238678,3.69%,May-25
SRER-4-1-Ro,Astragalus nuttallianus,4784628,1777926,37.16%,2094516,43.78%,7288,0.15%,May-25
SRER-5-1-No,Lotus humistratus,8124810,2547650,31.36%,139162,1.71%,6254286,76.98%,May-25
SRER-5-1-Rh,Lotus humistratus,17423386,1297360,7.45%,1041878,5.98%,12333068,70.78%,May-25
SRER-5-1-Ro,Lotus humistratus,15408030,545912,3.54%,3090452,20.06%,354360,2.30%,May-25
SRER-6-1-No,Lupinus sparsiflorus,9059878,1842574,20.34%,712588,7.87%,6486814,71.60%,May-25
SRER-6-1-Rh,Lupinus sparsiflorus,25314,10000,39.50%,3870,15.29%,2864,11.31%,May-25
SRER-6-1-Ro,Lupinus sparsiflorus,5749438,1372224,23.87%,2950302,51.31%,82952,1.44%,May-25
SRER-7-1-No,Lupinus concinnus,8580190,955994,11.14%,487418,5.68%,6499936,75.76%,May-25
SRER-7-1-Rh,Lupinus concinnus,14015704,1081946,7.72%,1034876,7.38%,8353726,59.60%,May-25
SRER-7-1-Ro,Lupinus concinnus,5970716,1509556,25.28%,2272186,38.06%,479990,8.04%,May-25
SRER-8-1-No,Astragalus nuttallianus,10001944,1587626,15.87%,337656,3.38%,6795350,67.94%,May-25
SRER-8-1-Rh,Astragalus nuttallianus,9723284,826754,8.50%,2601870,26.76%,182336,1.88%,May-25
SRER-8-1-Ro,Astragalus nuttallianus,9244080,1043466,11.29%,2784186,30.12%,131730,1.43%,May-25
SRER-9-1-No,Lupinus concinnus,18996,10504,55.30%,4446,23.40%,3110,16.37%,May-25
SRER-9-1-Rh,Lupinus concinnus,20792,11184,53.79%,3942,18.96%,2680,12.89%,May-25
SRER-9-1-Ro,Lupinus concinnus,4799020,2279928,47.51%,2127886,44.34%,57632,1.20%,May-25
TALL-1-1-No,Morella cerifera,1372204,901410,65.69%,760100,55.39%,102238,7.45%,May-25
TALL-1-1-Rh,Morella cerifera,2758712,1730742,62.74%,302276,10.96%,144116,5.22%,May-25
TALL-1-1-Ro,Morella cerifera,3726432,2378398,63.83%,1277766,34.29%,62926,1.69%,May-25
TALL-3-1-No,Lespedeza sp.,4115522,876706,21.30%,725456,17.63%,225066,5.47%,May-25
TALL-3-1-Rh,Lespedeza sp.,4201756,2194804,52.24%,233830,5.57%,268636,6.39%,May-25
TALL-3-1-Ro,Lespedeza sp.,13110714,799574,6.10%,6027980,45.98%,18774,0.14%,May-25
TALL-4-1-Rh,Stylosanthes biflora,2468660,599836,24.30%,269596,10.92%,130520,5.29%,May-25
TALL-4-1-Ro,Stylosanthes biflora,2742634,1730320,63.09%,1585064,57.79%,8274,0.30%,May-25
TALL-43-1-No,Lespedeza bicolor,4637510,1730320,37.31%,1236886,26.67%,24054,0.52%,May-25
TALL-43-1-Rh,Lespedeza bicolor,647478,184474,28.49%,65056,10.05%,78276,12.09%,May-25
TALL-43-1-Ro,Lespedeza bicolor,4548552,931674,20.48%,2223186,48.88%,48358,1.06%,May-25
TALL-44-1-No,Lespedeza hirta,10257778,7052672,68.75%,1044172,10.18%,2151516,20.97%,May-25
TALL-44-1-Rh,Lespedeza hirta,3570900,440002,12.32%,115690,3.24%,385332,10.79%,May-25
TALL-44-1-Ro,Lespedeza hirta,5395526,519944,9.64%,1600646,29.67%,20934,0.39%,May-25
TALL-45-1-No,Desmodium paniculatum,9143042,3244568,35.49%,890884,9.74%,2395268,26.20%,May-25
TALL-45-1-Rh,Desmodium paniculatum,4538904,1939746,42.74%,772086,17.01%,196508,4.33%,May-25
TALL-45-1-Ro,Desmodium paniculatum,2328020,1712436,73.56%,732806,31.48%,12994,0.56%,May-25
TALL-46-2-No,Lespedeza repens,11097086,4626052,41.69%,1277860,11.52%,2429874,21.90%,May-25
TALL-46-2-Rh,Lespedeza repens,1485636,560304,37.71%,228694,15.39%,50340,3.39%,May-25
TALL-46-2-Ro,Lespedeza repens,3210558,2404480,74.89%,963086,30.00%,24174,0.75%,May-25
TALL-47-2-No,Chamaecrista nictitans,7839436,1696922,21.65%,258994,3.30%,3940626,50.27%,May-25
TALL-47-2-Rh,Chamaecrista nictitans,31470168,1884964,5.99%,5561488,17.67%,549242,1.75%,May-25
TALL-47-2-Ro,Chamaecrista nictitans,11951242,3161704,26.46%,3020414,25.27%,76734,0.64%,May-25
TALL-48-2-No,Vicia sp.,6044390,2163250,35.79%,1622814,26.85%,1358128,22.47%,May-25
TALL-48-2-Rh,Vicia sp.,4399694,2883344,65.54%,617230,14.03%,247248,5.62%,May-25
TALL-48-2-Ro,Vicia sp.,5451702,3513230,64.44%,2030400,37.24%,32356,0.59%,May-25
TALL-49-1-No,Desmodium laevigatum,7511818,2383632,31.73%,965012,12.85%,3678612,48.97%,May-25
TALL-49-1-Rh,Desmodium laevigatum,31477484,3025028,9.61%,6435564,20.44%,128002,0.41%,May-25
TALL-49-1-Ro,Desmodium laevigatum,8882622,1751818,19.72%,2486416,27.99%,74908,0.84%,May-25
TALL-50-1-No,Galactia volubilis,13745974,3157282,22.97%,945740,6.88%,5907060,42.97%,May-25
TALL-50-1-Rh,Galactia volubilis,19921486,2729376,13.70%,3666818,18.41%,153154,0.77%,May-25
TALL-50-1-Ro,Galactia volubilis,11629292,2079062,17.88%,3456094,29.72%,26580,0.23%,May-25
TALL-51-3-No,Desmodium sp.,10493822,853298,8.13%,1600862,15.26%,4918876,46.87%,May-25
TALL-51-3-Rh,Desmodium sp.,4321252,3176886,73.52%,532994,12.33%,509418,11.79%,May-25
TALL-51-3-Ro,Desmodium sp.,5559918,948532,17.06%,1877064,33.76%,27802,0.50%,May-25
TALL-52-1-No,Strophostyles umbellata,5704368,4235260,74.25%,1269464,22.25%,222804,3.91%,May-25
TALL-52-1-Rh,Strophostyles umbellata,5176180,562208,10.86%,707926,13.68%,232608,4.49%,May-25
TALL-52-1-Ro,Strophostyles umbellata,12674390,4764866,37.59%,3947378,31.14%,25142,0.20%,May-25
TALL-53-3-Rh,Desmodium viridiflorum,6831426,3770098,55.19%,688284,10.08%,1786564,26.15%,May-25
TALL-54-1-No,Chamaecrista nictitans,18367182,9418064,51.28%,2536142,13.81%,7560826,41.16%,May-25
TALL-54-1-Rh,Chamaecrista nictitans,5756186,2403128,41.75%,688014,11.95%,224634,3.90%,May-25
TALL-54-1-Ro,Chamaecrista nictitans,16218582,555226,3.42%,4762294,29.36%,39812,0.25%,May-25
TALL-55-1-Rh,Desmodium paniculatum,3941286,2488868,63.15%,413754,10.50%,207540,5.27%,May-25
TALL-55-1-Ro,Desmodium paniculatum,13649506,8106704,59.39%,5226972,38.29%,72322,0.53%,May-25
TALL-56-1-No,Desmodium sp.,9069860,4870104,53.70%,1484182,16.36%,3466044,38.21%,May-25
TALL-56-1-Rh,Desmodium sp.,4376154,2204952,50.39%,489146,11.18%,260574,5.95%,May-25
TALL-56-1-Ro,Desmodium sp.,5554716,1706914,30.73%,2495850,44.93%,30442,0.55%,May-25
TALL-57-2-No,Lespedeza hirta,4907564,487510,9.93%,1830350,37.30%,699316,14.25%,May-25
TALL-57-2-Rh,Lespedeza hirta,3075524,1007766,32.77%,293264,9.54%,189684,6.17%,May-25
TALL-57-2-Ro,Lespedeza hirta,10874210,186372,1.71%,3238536,29.78%,23666,0.22%,May-25
TALL-58-1-No,Lespedeza repens,3514076,2321336,66.06%,1492524,42.47%,429862,12.23%,May-25
TALL-58-1-Rh,Lespedeza repens,2086008,340960,16.35%,150710,7.22%,124494,5.97%,May-25
TALL-58-1-Ro,Lespedeza repens,5271012,1184074,22.46%,2081486,39.49%,19288,0.37%,May-25
UKFS-1-1-No,Hylodesmum glutinosum,2136848,1506004,70.48%,371932,17.41%,390980,18.30%,May-25
UKFS-1-1-Rh,Hylodesmum glutinosum,12508534,6246416,49.94%,2512460,20.09%,589444,4.71%,May-25
UKFS-1-1-Ro,Hylodesmum glutinosum,2093820,439384,20.98%,709100,33.87%,12602,0.60%,May-25
UKFS-3-2-No,Hylodesmum glutinosum,16511814,8230962,49.85%,2285458,13.84%,3386444,20.51%,May-25
UKFS-3-2-Rh,Hylodesmum glutinosum,7261656,1827938,25.17%,992274,13.66%,790920,10.89%,May-25
UKFS-3-2-Ro,Hylodesmum glutinosum,3604544,1184966,32.87%,599416,16.63%,130676,3.63%,May-25
UKFS-4-1-No,Lespedeza cuneata,10735952,587810,5.48%,111748,1.04%,8341390,77.70%,May-25
UKFS-4-1-Rh,Lespedeza cuneata,4967910,2477016,49.86%,711386,14.32%,271204,5.46%,May-25
UKFS-4-1-Ro,Lespedeza cuneata,9131198,1380536,15.12%,2736112,29.96%,34930,0.38%,May-25
UKFS-5-1-No,Hylodesmum glutinosum,8017314,5755418,71.79%,744646,9.29%,971380,12.12%,May-25
UKFS-5-1-Rh,Hylodesmum glutinosum,130462,91290,69.97%,24440,18.73%,4776,3.66%,May-25
UKFS-5-1-Ro,Hylodesmum glutinosum,5612612,464824,8.28%,1225220,21.83%,26938,0.48%,May-25
UKFS-2-1-No,Hylodesmum glutinosum,19065664,12557764,65.87%,1385780,7.27%,914996,4.80%,May-25
UKFS-2-1-No,Hylodesmum glutinosum,5206320,2550028,48.98%,755408,14.51%,271316,5.21%,May-25
UKFS-2-1-No,Hylodesmum glutinosum,3668038,3225256,87.93%,830968,22.65%,5772,0.16%,May-25
UKFS-6-1-No,Hylodesmum glutinosum,12755410,1148054,9.00%,1138568,8.93%,2574982,20.19%,May-25
UKFS-6-1-Rh,Hylodesmum glutinosum,8763096,1755716,20.04%,1680604,19.18%,108422,1.24%,May-25
UKFS-6-1-Ro,Hylodesmum glutinosum,2773816,499632,18.01%,813018,29.31%,13400,0.48%,May-25
UKFS-6-3-Rh,Hylodesmum glutinosum,1583922,684466,43.21%,334884,21.14%,71018,4.48%,May-25
UKFS-6-3-Ro,Hylodesmum glutinosum,16041348,6030780,37.60%,8443248,52.63%,160406,1.00%,May-25
UNDE-1-2-No,Alnus incana,9498094,226822,2.39%,376810,3.97%,6392474,67.30%,May-25
UNDE-1-2-Rh,Alnus incana,75338,60926,80.87%,27828,36.94%,3414,4.53%,May-25
UNDE-1-2-Ro,Alnus incana,1385700,838278,60.49%,286064,20.64%,16830,1.21%,May-25
UNDE-2-1-No,Alnus incana,864252,248176,28.72%,26038,3.01%,555872,64.32%,May-25
UNDE-2-1-Rh,Alnus incana,23794,13002,54.64%,4454,18.72%,6752,28.38%,May-25
UNDE-2-1-Ro,Alnus incana,894028,736810,82.41%,128050,14.32%,42782,4.79%,May-25
UNDE-3-1-No,Alnus incana,9882446,2019772,20.44%,152758,1.55%,6522232,66.00%,May-25
UNDE-3-1-Rh,Alnus incana,2417376,1302082,53.86%,539940,22.34%,81920,3.39%,May-25
UNDE-3-1-Ro,Alnus incana,465884,396800,85.17%,98770,21.20%,3114,0.67%,May-25
UNDE-4-1-No,Alnus incana,14205158,5058660,35.61%,1888784,13.30%,8946232,62.98%,May-25
UNDE-4-1-Rh,Alnus incana,7398898,3601212,48.67%,1638350,22.14%,395942,5.35%,May-25
UNDE-4-1-Ro,Alnus incana,5699726,4161100,73.01%,2009346,35.25%,167694,2.94%,May-25
UNDE-5-4-No,Alnus incana,10999526,2922474,26.57%,160310,1.46%,6949208,63.18%,May-25
UNDE-5-4-Rh,Alnus incana,34284,21826,63.66%,7160,20.88%,4294,12.52%,May-25
UNDE-5-4-Ro,Alnus incana,1574120,866588,55.05%,313030,19.89%,249394,15.84%,May-25
YELL-1-2-No,Lupinus sericieus,18494008,16608436,89.80%,5047094,27.29%,82370,0.45%,May-25
YELL-1-2-Rh,Lupinus sericieus,7238394,1691866,23.37%,851592,11.76%,488968,6.76%,May-25
YELL-1-2-Ro,Lupinus sericieus,78390042,3061712,3.91%,9784574,12.48%,86896,0.11%,May-25
YELL-2-2-No,Lupinus sericieus,24153292,795860,3.30%,10514482,43.53%,21756,0.09%,May-25
YELL-2-2-Rh,Lupinus sericieus,7997756,472140,5.90%,1834328,22.94%,174502,2.18%,May-25
YELL-2-2-Ro,Lupinus sericieus,15575046,11471648,73.65%,3724944,23.92%,10820,0.07%,May-25
BLAN-1-1-No,Trifolium repens,14659916,11146702,76.04%,988858,6.75%,3264416,22.27%,Aug-25
BLAN-1-1-Rh,Trifolium repens,3806564,2563064,67.33%,432406,11.36%,464030,12.19%,Aug-25
BLAN-1-1-Ro,Trifolium repens,4360266,3247030,74.47%,1087020,24.93%,70498,1.62%,Aug-25
BLAN-2-1-No,Desmodium sp.,14199422,7930496,55.85%,2038864,14.36%,5767514,40.62%,Aug-25
BLAN-2-1-Rh,Desmodium sp.,10055666,5541470,55.11%,1866032,18.56%,383834,3.82%,Aug-25
BLAN-2-1-Ro,Desmodium sp.,7505984,6084802,81.07%,2148942,28.63%,350196,4.67%,Aug-25
BLAN-3-1-No,Kummerowia striata,18303944,4746568,25.93%,1091740,5.96%,14211670,77.64%,Aug-25
BLAN-3-1-Rh,Kummerowia striata,2809110,1729328,61.56%,345394,12.30%,122466,4.36%,Aug-25
BLAN-3-1-Ro,Kummerowia striata,5064450,2888034,57.03%,1007638,19.90%,1828702,36.11%,Aug-25
BLAN-4-1-No,Elaeagnus umbellata,4513820,2814400,62.35%,1079132,23.91%,700444,15.52%,Aug-25
BLAN-4-1-Rh,Elaeagnus umbellata,3023848,1207330,39.93%,291498,9.64%,116956,3.87%,Aug-25
BLAN-4-1-Ro,Elaeagnus umbellata,3237506,2142162,66.17%,1055286,32.60%,95072,2.94%,Aug-25
CLBJ-40-1-No,Lespedeza cuneata,17149228,8651692,50.45%,550998,3.21%,7288680,42.50%,Aug-25
CLBJ-40-1-Rh,Lespedeza cuneata,5039164,2431304,48.25%,519066,10.30%,196314,3.90%,Aug-25
CLBJ-40-1-Ro,Lespedeza cuneata,3986120,2015100,50.55%,496158,12.45%,135002,3.39%,Aug-25
CLBJ-41-1-No,Lespedeza cuneata,13004444,9504386,73.09%,896364,6.89%,1990186,15.30%,Aug-25
CLBJ-41-1-Rh,Lespedeza cuneata,3055162,1525802,49.94%,246900,8.08%,144400,4.73%,Aug-25
CLBJ-41-1-Ro,Lespedeza cuneata,4072170,1898354,46.62%,439748,10.80%,136114,3.34%,Aug-25
CLBJ-42-1-No,Chamaecrista fasciculata,5636966,2832858,50.26%,1739130,30.85%,1442410,25.59%,Aug-25
CLBJ-42-1-Rh,Chamaecrista fasciculata,23080348,2563610,11.11%,6495476,28.14%,45814,0.20%,Aug-25
CLBJ-42-1-Ro,Chamaecrista fasciculata,7329734,5408416,73.79%,4339546,59.20%,122094,1.67%,Aug-25
CLBJ-44-1-No,Lespedeza stuevei,14907032,8942742,59.99%,1762918,11.83%,727890,4.88%,Aug-25
CLBJ-44-1-Rh,Lespedeza stuevei,1887248,1356876,71.90%,439832,23.31%,76706,4.06%,Aug-25
CLBJ-44-1-Ro,Lespedeza stuevei,12922424,11242068,87.00%,1126380,8.72%,17528,0.14%,Aug-25
CLBJ-46-1-No,Galactia volubilis,4420398,2555338,57.81%,441124,9.98%,771124,17.44%,Aug-25
CLBJ-46-1-Rh,Galactia volubilis,4079852,1860362,45.60%,310558,7.61%,126486,3.10%,Aug-25
CLBJ-46-1-Ro,Galactia volubilis,18865796,10068924,53.37%,3380332,17.92%,296254,1.57%,Aug-25
CLBJ-47-1-No,Lespedeza stuevei,3643108,2959734,81.24%,1858318,51.01%,29800,0.82%,Aug-25
CLBJ-47-1-Rh,Lespedeza stuevei,3738060,2166886,57.97%,954062,25.52%,394320,10.55%,Aug-25
CLBJ-47-1-Ro,Lespedeza stuevei,8525152,7211530,84.59%,1176530,13.80%,15028,0.18%,Aug-25
CPER-1-No,Astragalus bisulcatus,3969822,2396032,60.36%,1285760,32.39%,947842,23.88%,Aug-25
CPER-1-Rh,Astragalus bisulcatus,8433276,4369028,51.81%,1605438,19.04%,307962,3.65%,Aug-25
CPER-1-Ro,Astragalus bisulcatus,9237760,7728348,83.66%,4533398,49.07%,11534,0.12%,Aug-25
CPER-2-No,Melilotus officinalis,14542284,4139574,28.47%,1401336,9.64%,11897570,81.81%,Aug-25
CPER-2-Rh,Melilotus officinalis,7355290,4037756,54.90%,1129606,15.36%,793856,10.79%,Aug-25
CPER-2-Ro,Melilotus officinalis,2825908,2332290,82.53%,1245384,44.07%,120982,4.28%,Aug-25
CPER-3-1-No,Melilotus officinalis,8770196,2367992,27.00%,793410,9.05%,7095006,80.90%,Aug-25
CPER-3-1-Rh,Melilotus officinalis,4524564,2284750,50.50%,1014474,22.42%,1529120,33.80%,Aug-25
CPER-3-1-Ro,Melilotus officinalis,6213808,4743454,76.34%,3110962,50.07%,85102,1.37%,Aug-25
CPER-4-No,Melilotus officinalis,6178244,1181400,19.12%,776142,12.56%,4400018,71.22%,Aug-25
CPER-4-Rh,Melilotus officinalis,3838802,1739530,45.31%,460634,12.00%,1822264,47.47%,Aug-25
CPER-4-Ro,Melilotus officinalis,2945284,2511586,85.27%,914398,31.05%,34600,1.17%,Aug-25
CPER-5-1-No,Melilotus officinalis,16523892,3398088,20.56%,1278710,7.74%,13818960,83.63%,Aug-25
CPER-5-1-Rh,Melilotus officinalis,9066936,2002906,22.09%,422914,4.66%,6758372,74.54%,Aug-25
CPER-5-1-Ro,Melilotus officinalis,5387232,4303742,79.89%,2236136,41.51%,32014,0.59%,Aug-25
DCFS-1-2-No,Astragalus flexuosus,725250,360982,49.77%,270894,37.35%,85674,11.81%,Aug-25
DCFS-1-2-Rh,Astragalus flexuosus,12144336,4409536,36.31%,769932,6.34%,377760,3.11%,Aug-25
DCFS-1-2-Ro,Astragalus flexuosus,1325398,640088,48.29%,271458,20.48%,35066,2.65%,Aug-25
DCFS-2-2-No,Medicago lupina,24950596,4177114,16.74%,1096064,4.39%,22827488,91.49%,Aug-25
DCFS-2-2-Rh,Medicago lupina,11352522,5182644,45.65%,799230,7.04%,517592,4.56%,Aug-25
DCFS-2-2-Ro,Medicago lupina,4787732,3908008,81.63%,1607804,33.58%,102552,2.14%,Aug-25
DCFS-3-2-No,Medicago lupina,5517662,2339818,42.41%,255388,4.63%,2901834,52.59%,Aug-25
DCFS-3-2-Rh,Medicago lupina,9455220,3482608,36.83%,720792,7.62%,373506,3.95%,Aug-25
DCFS-3-2-Ro,Medicago lupina,3300044,2854868,86.51%,1435896,43.51%,12254,0.37%,Aug-25
DCFS-4-No,Oxytropis lambertii,29694688,3651672,12.30%,685998,2.31%,25005030,84.21%,Aug-25
DCFS-4-Rh,Oxytropis lambertii,4293714,2278400,53.06%,466910,10.87%,210978,4.91%,Aug-25
DCFS-4-Ro,Oxytropis lambertii,4276634,2432236,56.87%,831358,19.44%,138488,3.24%,Aug-25
DCFS-5-1-No,Medicago lupina,25110750,5389570,21.46%,1325796,5.28%,21785700,86.76%,Aug-25
DCFS-5-1-Rh,Medicago lupina,7156224,4939014,69.02%,1067344,14.91%,312448,4.37%,Aug-25
DCFS-5-1-Ro,Medicago lupina,5452786,4263618,78.19%,1900766,34.86%,60902,1.12%,Aug-25
DCFS-6-1-No,Medicago lupina,26889524,5103636,18.98%,1582890,5.89%,23837930,88.65%,Aug-25
DCFS-6-1-Rh,Medicago lupina,2768030,1640332,59.26%,422032,15.25%,114086,4.12%,Aug-25
DCFS-6-1-Ro,Medicago lupina,5809298,5011134,86.26%,2942658,50.65%,14918,0.26%,Aug-25
DCFS-7-1-No,Amorpha canescens,4764434,3600276,75.57%,898606,18.86%,114052,2.39%,Aug-25
DCFS-7-1-Rh,Amorpha canescens,4056038,2426436,59.82%,829158,20.44%,226798,5.59%,Aug-25
DCFS-7-1-Ro,Amorpha canescens,3026872,2697880,89.13%,890948,29.43%,34068,1.13%,Aug-25
DCFS-8-1-No,Melilotus officinalis,18951202,4338298,22.89%,1066332,5.63%,16828746,88.80%,Aug-25
DCFS-8-1-Rh,Melilotus officinalis,3718064,1781072,47.90%,499294,13.43%,231338,6.22%,Aug-25
DCFS-8-1-Ro,Melilotus officinalis,2818046,2253926,79.98%,1820426,64.60%,14804,0.53%,Aug-25
DEJU-10-1-No,Lupinus arcticus,17716060,15742446,88.86%,1401684,7.91%,7810,0.04%,Aug-25
DEJU-10-1-Rh,Lupinus arcticus,9322402,5374712,57.65%,1215118,13.03%,528036,5.66%,Aug-25
DEJU-10-1-Ro,Lupinus arcticus,4383984,3494518,79.71%,919846,20.98%,41934,0.96%,Aug-25
DEJU-11-1-No,Lupinus arcticus,16768522,14715268,87.76%,1520682,9.07%,9004,0.05%,Aug-25
DEJU-11-1-Rh,Lupinus arcticus,2855556,1667230,58.39%,630238,22.07%,76198,2.67%,Aug-25
DEJU-11-1-Ro,Lupinus arcticus,991272,880882,88.86%,87142,8.79%,10678,1.08%,Aug-25
DEJU-12-1-No,Lupinus arcticus,30989034,29147746,94.06%,3054780,9.86%,23182,0.07%,Aug-25
DEJU-12-1-Rh,Lupinus arcticus,3712402,2259812,60.87%,636234,17.14%,223116,6.01%,Aug-25
DEJU-12-1-Ro,Lupinus arcticus,6889012,5749940,83.47%,856290,12.43%,8178,0.12%,Aug-25
DEJU-13-1-No,Lupinus arcticus,5450974,3567208,65.44%,3202500,58.75%,790632,14.50%,Aug-25
DEJU-13-1-Rh,Lupinus arcticus,24370,12654,51.92%,3674,15.08%,1766,7.25%,Aug-25
DEJU-13-1-Ro,Lupinus arcticus,12482230,10371580,83.09%,8986510,71.99%,30472,0.24%,Aug-25
DEJU-16-1-No,Alnus viridis,8637832,2078116,24.06%,157188,1.82%,5744942,66.51%,Aug-25
DEJU-16-1-Rh,Alnus viridis,5270994,3369376,63.92%,504676,9.57%,318758,6.05%,Aug-25
DEJU-16-1-Ro,Alnus viridis,4835188,3399964,70.32%,1064034,22.01%,1209968,25.02%,Aug-25
DEJU-17-1-No,Alnus viridis,81770542,76778930,93.90%,8194332,10.02%,25928,0.03%,Aug-25
DEJU-17-1-Rh,Alnus viridis,19207658,7434054,38.70%,3998204,20.82%,609556,3.17%,Aug-25
DEJU-17-1-Ro,Alnus viridis,1595280,1208296,75.74%,1103892,69.20%,11158,0.70%,Aug-25
DEJU-18-1-No,Alnus viridis,6885948,2108978,30.63%,217294,3.16%,4167794,60.53%,Aug-25
DEJU-18-1-Rh,Alnus viridis,3870120,2345706,60.61%,697254,18.02%,107608,2.78%,Aug-25
DEJU-18-1-Ro,Alnus viridis,6823446,4948318,72.52%,2259882,33.12%,357752,5.24%,Aug-25
DEJU-19-1-No,Alnus viridis,12309886,10837276,88.04%,2227634,18.10%,15838,0.13%,Aug-25
DEJU-19-1-Rh,Alnus viridis,5239890,3598312,68.67%,1421348,27.13%,117412,2.24%,Aug-25
DEJU-19-1-Ro,Alnus viridis,117980,85750,72.68%,15670,13.28%,16660,14.12%,Aug-25
DEJU-20-1-No,Alnus viridis,3798880,3254494,85.67%,408968,10.77%,7596,0.20%,Aug-25
DEJU-20-1-Rh,Alnus viridis,4161946,2801374,67.31%,1103218,26.51%,61832,1.49%,Aug-25
DEJU-20-1-Ro,Alnus viridis,6564314,5542262,84.43%,1301494,19.83%,31902,0.49%,Aug-25
DEJU-21-1-No,Alnus viridis,10731304,4014454,37.41%,832606,7.76%,6789410,63.27%,Aug-25
DEJU-21-1-Rh,Alnus viridis,3068186,1987150,64.77%,480950,15.68%,117632,3.83%,Aug-25
DEJU-21-1-Ro,Alnus viridis,694950,552750,79.54%,290370,41.78%,6576,0.95%,Aug-25
DEJU-22-1-No,Alnus viridis,6534412,2352052,35.99%,370306,5.67%,3524034,53.93%,Aug-25
DEJU-22-1-Rh,Alnus viridis,3757416,2469522,65.72%,767532,20.43%,78646,2.09%,Aug-25
DEJU-22-1-Ro,Alnus viridis,4822582,3872952,80.31%,1894704,39.29%,81708,1.69%,Aug-25
DEJU-23-1-No,Alnus viridis,6571120,2718100,41.36%,682840,10.39%,3180130,48.40%,Aug-25
