Accession,Species,Total read count,16S read count,16S on target %,ITS read count,ITS on target %,Symbiosis read count,Symbiosis on target %,Batch
CLBJ-19-1-Rh,Stylosanthes biflora,2578692,1582450,61.37%,271028,10.51%,124850,4.84%,May-25
CLBJ-19-1-Ro,Stylosanthes biflora,8935936,7030402,78.68%,4887436,54.69%,35622,0.40%,May-25
CLBJ-24-No,Chamaecrista fasciculata,12866892,2728928,21.21%,706906,5.49%,7516218,58.42%,May-25
CLBJ-24-Rh,Chamaecrista fasciculata,3573356,2193918,61.40%,463154,12.96%,124016,3.47%,May-25
CLBJ-25-2-No,Dalea tenuis,8468946,4620378,54.56%,1770752,20.91%,1135516,13.41%,May-25
CLBJ-25-2-Rh,Dalea tenuis,1974342,1034014,52.37%,216562,10.97%,379648,19.23%,May-25
CLBJ-25-2-Ro,Dalea tenuis,9824968,4405062,44.84%,1264140,12.87%,2383540,24.26%,May-25
CLBJ-26-1-No,Strophostyles leiosperma,14271042,4654428,32.61%,2981740,20.89%,7645846,53.58%,May-25
CLBJ-26-1-Rh,Strophostyles leiosperma,2425078,1244842,51.33%,192850,7.95%,141676,5.84%,May-25
CLBJ-26-1-Ro,Strophostyles leiosperma,7416358,5240750,70.66%,3925562,52.93%,264836,3.57%,May-25
CLBJ-27-1-No,Desmanthus illinoiensis,14899734,4714908,31.64%,2506192,16.82%,8301934,55.72%,May-25
CLBJ-27-1-Rh,Desmanthus illinoiensis,5315528,2827716,53.20%,760184,14.30%,1252844,23.57%,May-25
CLBJ-27-1-Ro,Desmanthus illinoiensis,3680550,1849112,50.24%,533946,14.51%,656598,17.84%,May-25
CLBJ-28-3-No,Dalea tenuis,6340500,3953152,62.35%,3409564,53.77%,99936,1.58%,May-25
CLBJ-28-3-Rh,Dalea tenuis,17056778,13508734,79.20%,10171712,59.63%,237974,1.40%,May-25
CLBJ-28-3-Ro,Dalea tenuis,4595608,3464430,75.39%,1981694,43.12%,12624,0.27%,May-25
CLBJ-29-2-Rh,Dalea aurea,4285382,1888380,44.07%,321258,7.50%,233292,5.44%,May-25
CLBJ-29-2-Ro,Dalea aurea,4881850,3214206,65.84%,2302806,47.17%,40550,0.83%,May-25
CLBJ-2-No,Dalea compacta,873930,352378,40.32%,124690,14.27%,476282,54.50%,May-25
